date,driver_number,lap_number,meeting_key,pit_duration,session_key
2024-03-02 15:06:11.115000+00:00,27,1,1229,36.6,9472
2024-03-02 15:19:05.235000+00:00,24,9,1229,25.2,9472
2024-03-02 15:19:07.623000+00:00,18,9,1229,24.4,9472
2024-03-02 15:20:46.058000+00:00,31,10,1229,24.8,9472
2024-03-02 15:21:55.789000+00:00,2,10,1229,35.7,9472
2024-03-02 15:22:03.605000+00:00,63,11,1229,24.7,9472
2024-03-02 15:22:06.457000+00:00,16,11,1229,24.0,9472
2024-03-02 15:22:22.107000+00:00,20,11,1229,25.9,9472
2024-03-02 15:23:41.972000+00:00,11,12,1229,24.5,9472
2024-03-02 15:23:50.520000+00:00,81,12,1229,25.4,9472
2024-03-02 15:23:52.389000+00:00,44,12,1229,25.0,9472
2024-03-02 15:24:09.090000+00:00,10,12,1229,29.9,9472
2024-03-02 15:24:09.531000+00:00,77,12,1229,26.4,9472
2024-03-02 15:25:25.101000+00:00,4,13,1229,24.2,9472
2024-03-02 15:25:42.894000+00:00,3,13,1229,24.9,9472
2024-03-02 15:26:57.817000+00:00,55,14,1229,24.4,9472
2024-03-02 15:27:13.176000+00:00,22,14,1229,24.7,9472
2024-03-02 15:28:49.395000+00:00,14,15,1229,24.7,9472
2024-03-02 15:28:54.348000+00:00,23,15,1229,24.6,9472
2024-03-02 15:31:37.825000+00:00,1,17,1229,25.0,9472
2024-03-02 15:37:33.888000+00:00,27,20,1229,24.7,9472
2024-03-02 15:48:50.340000+00:00,18,27,1229,24.5,9472
2024-03-02 15:50:25.427000+00:00,24,28,1229,25.0,9472
2024-03-02 15:51:59.543000+00:00,2,28,1229,25.0,9472
2024-03-02 15:53:55.836000+00:00,31,30,1229,25.1,9472
2024-03-02 15:54:47.117000+00:00,63,31,1229,24.8,9472
2024-03-02 15:54:47.631000+00:00,77,30,1229,74.7,9472
2024-03-02 15:55:37.993000+00:00,10,31,1229,26.4,9472
2024-03-02 15:57:02.477000+00:00,20,32,1229,24.4,9472
2024-03-02 15:58:04.902000+00:00,4,33,1229,24.7,9472
2024-03-02 15:58:10.632000+00:00,44,33,1229,24.0,9472
2024-03-02 15:59:38.514000+00:00,16,34,1229,24.1,9472
2024-03-02 15:59:45.850000+00:00,81,34,1229,24.8,9472
2024-03-02 16:00:12.070000+00:00,22,34,1229,24.3,9472
2024-03-02 16:01:02.991000+00:00,55,35,1229,23.8,9472
2024-03-02 16:01:59.612000+00:00,3,35,1229,24.8,9472
2024-03-02 16:02:37.212000+00:00,11,36,1229,24.5,9472
2024-03-02 16:03:35.177000+00:00,23,36,1229,24.6,9472
2024-03-02 16:03:54.529000+00:00,1,37,1229,24.2,9472
2024-03-02 16:11:23.921000+00:00,14,41,1229,25.1,9472
2024-03-02 16:11:47.875000+00:00,2,40,1229,25.3,9472
2024-03-02 16:11:54.741000+00:00,27,41,1229,24.3,9472
2024-03-02 16:15:21.252000+00:00,10,43,1229,25.2,9472
